States,Released Amount (In Rs. Crore) 2015-16,Physical Area (ha) 2015-16,Released Amount (In Rs. Crore) 2016-17,Physical Area (ha) 2016-17,Released Amount (In Rs. Crore) 2017-18,Physical Area (ha) 2017-18,Released Amount (In Rs. Crore) 2018-19,Physical Area (ha) 2018-19,Released Amount (In Rs. Crore) 2019-20,Physical Area (ha) 2019-20,Released Amount (In Rs. Crore) 2020-21,Physical Area (ha) 2020-21,Released Amount (In Rs. Crore) 2021-22,Physical Area (ha) 2021-22,Released Amount (In Rs. Crore) 2022-23,Physical Area (ha) 2022-23,Total Released Amount (In Rs. Crore) ,Total Physical Area (ha) 
Andhra Pradesh,0.0,0.0,1.0553,534.0,0.446,0.0,2.6662,2203.0,0.0,0.0,0.0,0.0,2.0235963,1656.0,0.0,0.0,6.1910963,4393.0
Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.432,10777.0,21.28,0.0,34.712,10777.0
Chhattisgarh,23.386,19128.0,20.23,0.0,10.953,0.0,5.3607,0.0,5.03608,0.0,1.660924,1063.0,6.12,4419.0,0.0,0.0,72.746704,24610.0
Haryana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.55,6174.0,0.0,0.0,9.55,6174.0
Himachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.085,5480.0,0.0,0.0,0.0,0.0,17.085,5480.0
Jammu & Kashmir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.727,5680.0,0.0,0.0,6.49,1891.0,32.217,7571.0
Karnataka,1.0553,760.0,0.86853,0.0,0.85734,0.0,1.6234,600.0,2.20993,0.0,2.351396,560.0,4.44649,515.0,2.92844,360.0,16.340826,2795.0
Kerala,9.1482,4978.0,0.0,0.0,0.0,7319.766,0.0,0.0,16.31813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.46633,12297.766
Madhya Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,24.159,11914.0,30.65298,11444.0,0.0,0.0,18.285244,7259.0,17.93,5000.0,91.027224,35617.0
Maharashtra,0.0,0.0,0.0,0.0,0.0,0.0,10.302,6766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.302,6766.0
Manipur,8.3484,8798.0,7.8229,0.0,6.4158,0.0,4.8881,0.0,4.16229,0.0,6.73635,8122.0,9.93,2056.0,5.45,1000.0,53.75384,19976.0
Mizoram,0.0,0.0,9.8835,19643.0,20.0,0.0,22.364,0.0,17.70901,0.0,2.994801,0.0,29.858,0.0,36.27,1000.0,139.079311,20643.0
Odisha,1.8292,2177.56,1.3896,20.84,1.4056,20.84,4.7433,6965.0,14.18919,7450.0,26.01436,0.0,17.73538,2108.0,8.4756,2030.0,75.78223,20772.24
Punjab,6.1153,3000.0,0.0,0.0,6.2173,1304.0,0.0,0.0,3.1857,0.0,0.0,0.0,3.31738,1500.0,2.73929,1650.0,21.57497,7454.0
Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,3.3236,1509.2,3.1242,0.0,2.19287,0.0,7.77,2474.0,6.5725,2998.0,22.98317,6981.2
Uttarakhand,20.209,7483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.891,3562.0,33.993,2295.0,28.399,3557.0,110.492,16897.0
West Bengal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.426488,18666.0,0.0,0.0,0.0,0.0,0.76,0.0,10.186488,18666.0
 Total,70.0914,46324.56,41.24983,20197.84,46.29504,8644.606,79.4303,29957.2,106.013998,37560.0,112.653701,24467.0,156.4610903,41233.0,137.29483,19486.0,749.4901893,227870.206
